,mol_id,smiles,pIC50
140,CHEMBL3221113,CN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)C(=O)C)c3c2)C(F)(F)F,6.81
141,CHEMBL497118,Cc1csc(c1)c2ccc3nnc(Cc4ccc(O)cc4)n3n2,8.7
142,CHEMBL522196,COc1ccc2c(OCc3nnc4ccc(nn34)c5ccc(F)c(F)c5)ccnc2c1,7.58
143,CHEMBL1644810,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4CCCC(=O)N(CCOC)c4c3)ncc2Cl,8.0
144,CHEMBL1644811,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4c(NC(=O)CCC4(C)C)c3)ncc2Cl,8.0
145,CHEMBL1097824,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)c5cnn(c5N)c6ccccc6)cc4F)c3s2,6.75
146,CHEMBL1095357,CN(C)CCN(C)C(=O)c1ccc(cc1)c2cc3nccc(Oc4ccc(NC(=O)c5cnn(c6ccccc6)c5C(F)(F)F)cc4F)c3s2,7.52
147,CHEMBL1095359,CN(C)C(=O)c1ccc(nc1)c2cc3nccc(Oc4ccc(NC(=O)c5cnn(c6ccccc6)c5C(F)(F)F)cc4F)c3s2,7.4
148,CHEMBL1170514,Cl.Cn1cc(cn1)c2cnc(N)c(c2)c3oc4ccccc4n3,5.68
149,CHEMBL1094718,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)c5cnn(c6ccccc6)c5C(F)(F)F)cc4F)c3s2,6.3
150,CHEMBL462232,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(C5=O)c6ccccc6)cc4F)c3s2,7.1
151,CHEMBL1094718,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)c5cnn(c6ccccc6)c5C(F)(F)F)cc4F)c3s2,6.4
152,CHEMBL565782,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)CC(=O)N(C)c5ccccc5)cc4F)c3s2,7.51
153,CHEMBL1169794,Cl.COC(=O)N1CCC(CC1)n2cc(cn2)c3cnc(N)c(c3)c4oc5ccccc5n4,7.24
154,CHEMBL602703,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccccc5)C(F)(F)F)cc4F)c3s2,6.92
155,CHEMBL602905,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccc(F)cc5)C(F)(F)F)cc4)c3s2,6.75
156,CHEMBL1172131,Cl.Nc1ncc(cc1c2oc3ccccc3n2)c4cnn(c4)C5CCN(CC5)C(=O)CO,7.58
157,CHEMBL1099175,Fc1cc(Nc2ncccc2C(=O)Nc3ccccc3Cl)ccc1Oc4ccnc5[nH]ccc45,7.62
158,CHEMBL1099204,Fc1ccc(NC(=O)c2cccnc2Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)nc1,7.47
159,CHEMBL1098475,Fc1cc(Nc2ncccc2C(=O)Nc3ccccc3)ccc1Oc4ccnc5[nH]ccc45,7.68
160,CHEMBL1098213,Fc1ccc(NC(=O)c2cnccc2Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)c(F)c1,6.57
161,CHEMBL1644811,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4c(NC(=O)CCC4(C)C)c3)ncc2Cl,7.27
162,CHEMBL270548,COc1cc2nccc(Oc3ccc4N(CCOc4c3)C(=O)Nc5ccc(Cl)cc5)c2cc1OC,6.52
163,CHEMBL1644815,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4c(c3)N(CCOC)C(=O)CCC4(C)C)ncc2Cl,7.07
164,CHEMBL1644809,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4CCCC(=O)Nc4c3)ncc2Cl,7.0
165,CHEMBL1642141,CCN1CCCOc2cc(Nc3ncc(Cl)c(Nc4c(F)cccc4C(=O)NC)n3)ccc12,7.85
166,CHEMBL1642144,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)C)ncc2Cl,7.52
167,CHEMBL1642146,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)COC)ncc2Cl,7.29
168,CHEMBL1642138,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)OC(C)C)ncc2Cl,7.33
169,CHEMBL1642140,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)OCCCN(C)C)ncc2Cl,7.35
170,CHEMBL1766545,COC(=O)N1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)[N+](=O)[O-])c3c2)C(F)(F)F,7.37
171,CHEMBL1644800,CCCNC(=O)c1ccccc1Nc2nc(Nc3ccc4N(C)C(=O)CCCc4c3)ncc2Cl,6.7
172,CHEMBL1644803,CN(CC#C)C(=O)c1ccccc1Nc2nc(Nc3ccc4N(C)C(=O)CCCc4c3)ncc2Cl,6.32
173,CHEMBL574864,COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(C4=O)c5ccc(F)cc5)cc3F)c2cc1OC,7.05
174,CHEMBL465130,CN(C(=O)CC(=O)Nc1ccc(Oc2ccnc3cc(sc23)c4cn(C)cn4)c(F)c1)c5ccccc5,7.37
175,CHEMBL464211,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(C5=O)c6ccc(F)cc6)cc4F)c3s2,7.57
176,CHEMBL517469,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(C5=O)c6ccccc6F)cc4F)c3s2,7.0
177,CHEMBL271984,COc1cc2nccc(Oc3ccc4c(cccc4c3)C(=O)N)c2cc1OC,5.16
178,CHEMBL406914,COc1cc2nccc(Oc3ccc4c(cccc4c3)C(=O)NC(C)(C)C)c2cc1OC,4.96
179,CHEMBL270342,COc1ccc2c(Oc3ccc4c(cccc4c3)C(=O)NC5CC5)ccnc2c1,4.7
180,CHEMBL269871,CCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12,4.7
181,CHEMBL428961,COc1cc2nccc(Oc3ccc4c(cccc4c3)C(=O)NC5(C)CC5)c2cc1OC,5.3
182,CHEMBL270306,COc1cc2nccc(Oc3ccc4N(CCOc4c3)C(=O)N[C@@H](C)c5ccccc5)c2cc1OC,6.34
183,CHEMBL399710,Cc1ccn2ncnc(Oc3ccc(NC(=O)c4ccccc4F)cc3F)c12,6.12
184,CHEMBL251782,CN1CCN(CCOc2cn3ncnc(Oc4ccc(NC(=O)c5cc(Cl)ccc5F)cc4F)c3c2C)CC1,7.16
185,CHEMBL400726,NCC1CN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)C1,6.75
186,CHEMBL254086,NC1CCC(=Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)CC1,8.82
187,CHEMBL254907,CN(C)CCOc1cn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c2c1C,6.85
188,CHEMBL255091,CN1CCN(CCOc2cn3ncnc(Oc4ccc(NC(=O)c5cc(F)ccc5F)cc4F)c3c2C)CC1,7.4
189,CHEMBL509032,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,5.78
190,CHEMBL246284,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc23)c1,5.19
191,CHEMBL1642144,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)C)ncc2Cl,7.55
192,CHEMBL373882,CNc1ncnc(n1)c2cccnc2Oc3ccc(F)c(c3)C(=O)Nc4cc(ccc4N(C)CCCN(C)C)C(F)(F)F,4.6
193,CHEMBL494793,COc1ccc2c(OCc3nnc4ccc(nn34)c5cccc(F)c5)ccnc2c1,8.15
194,CHEMBL564440,CC(C)(C)OC(=O)N1CCC(CC1)n2cc(cn2)c3cnc4ccn(c4c3)S(=O)(=O)c5c(Cl)nc6sccn56,7.57
195,CHEMBL564365,CC1=CC2=C(C(=O)N1)c3[nH]c4ccccc4c3CCN2CCc5ccccc5,4.71
